ParticipantID,trial_id,dot_id,block_id,ActualDots_xy_1,ActualDots_xy_2,ResponseDots_xy_1,ResponseDots_xy_2,age,gender,errorXY_1,errorXY_2,errorMag,shape_type
1,1,1,1,20,20,57.5562611730833,36.1982216008822,29,Male,37.5562611730833,16.1982216008822,40.9005517851792,Rectangle
1,2,2,1,20,48.8888888888889,56.892983571419,57.7564930328158,29,Male,36.892983571419,8.86760414392694,37.943729917529,Rectangle
1,3,3,1,20,77.7777777777778,55.7032686717283,79.9206918685242,29,Male,35.7032686717283,2.14291409074644,35.7675198279938,Rectangle
1,4,4,1,20,106.666666666667,51.5725181626027,94.9995226991699,29,Male,31.5725181626027,-11.6671439674968,33.6592654626653,Rectangle
1,5,5,1,20,135.555555555556,59.8717279187392,121.826195100923,29,Male,39.8717279187392,-13.7293604546327,42.1693019354032,Rectangle
1,6,6,1,20,164.444444444444,49.5378536537339,173.785465703305,29,Male,29.5378536537339,9.34102125886096,30.9796623065503,Rectangle
1,7,7,1,20,193.333333333333,52.0853951948578,210.384368798026,29,Male,32.0853951948578,17.0510354646926,36.334699602837,Rectangle
1,8,8,1,20,222.222222222222,56.8987296369146,216.162160706323,29,Male,36.8987296369146,-6.06006151589929,37.3930554300475,Rectangle
1,9,9,1,20,251.111111111111,59.9391260885053,245.681095064697,29,Male,39.9391260885053,-5.4300160464141,40.306561090942,Rectangle
1,10,10,1,20,280,57.5717749137363,266.946798744795,29,Male,37.5717749137363,-13.0532012552049,39.7746694917425,Rectangle
1,11,11,1,49.4736842105263,20,77.8474745907703,36.4834199092614,29,Male,28.373790380244,16.4834199092614,32.8142516667234,Rectangle
1,12,12,1,49.4736842105263,48.8888888888889,72.4414355948185,57.3934749313947,29,Male,22.9677513842922,8.50458604250584,24.4917452911188,Rectangle
1,13,13,1,49.4736842105263,77.7777777777778,77.8269767688473,76.9581343649124,29,Male,28.353292558321,-0.819643412865403,28.3651373030697,Rectangle
1,14,14,1,49.4736842105263,106.666666666667,67.6589037335707,98.5764773360656,29,Male,18.1852195230444,-8.09018933060108,19.9036019982888,Rectangle
1,15,15,1,49.4736842105263,135.555555555556,75.6437400977129,112.162175795744,29,Male,26.1700558871866,-23.3933797598111,35.1015959996865,Rectangle
1,16,16,1,49.4736842105263,164.444444444444,72.802922379977,180.364703192637,29,Male,23.3292381694507,15.9202587481923,28.2437248282933,Rectangle
1,17,17,1,49.4736842105263,193.333333333333,71.0390528636894,202.266213262012,29,Male,21.5653686531631,8.93287992867843,23.3422678625496,Rectangle
1,18,18,1,49.4736842105263,222.222222222222,67.4608642087901,223.888347489732,29,Male,17.9871799982638,1.6661252675097,18.0641805155112,Rectangle
1,19,19,1,49.4736842105263,251.111111111111,82.408309858022,250.971359295049,29,Male,32.9346256474957,-0.139751816062471,32.9349221512785,Rectangle
1,20,20,1,49.4736842105263,280,67.6577408414279,262.971911483211,29,Male,18.1840566309016,-17.0280885167895,24.9121599643919,Rectangle
1,21,21,1,78.9473684210526,20,100.623186817738,31.1826573244152,29,Male,21.6758183966855,11.1826573244152,24.3904269745608,Rectangle
1,22,22,1,78.9473684210526,48.8888888888889,94.2211172477931,62.5875740861422,29,Male,15.2737488267405,13.6986851972533,20.5168559812609,Rectangle
1,23,23,1,78.9473684210526,77.7777777777778,102.827681640291,89.8078779114002,29,Male,23.8803132192379,12.0301001336224,26.7393468258649,Rectangle
1,24,24,1,78.9473684210526,106.666666666667,87.8521795503931,97.121273459534,29,Male,8.90481112934047,-9.54539320713265,13.0541255060613,Rectangle
1,25,25,1,78.9473684210526,135.555555555556,101.22068953278,111.882432834744,29,Male,22.2733211117276,-23.6731227208115,32.5041162424197,Rectangle
1,26,26,1,78.9473684210526,164.444444444444,95.2193757277615,174.222864931751,29,Male,16.2720073067089,9.77842048730676,18.9840914719711,Rectangle
1,27,27,1,78.9473684210526,193.333333333333,101.926366759845,203.646175974245,29,Male,22.9789983387919,10.3128426409116,25.1870817680494,Rectangle
1,28,28,1,78.9473684210526,222.222222222222,88.333214900624,223.161058642626,29,Male,9.3858464795714,0.938836420403931,9.43268402748442,Rectangle
1,29,29,1,78.9473684210526,251.111111111111,90.7023117409723,245.266335847038,29,Male,11.7549433199197,-5.84477526407326,13.1278364684379,Rectangle
